3-gram,frequency
"('CMP', 'JNZ', 'RET_NEAR')",11286
"('JNZ', 'RET_NEAR', 'MOV')",4467
"('RET_NEAR', 'MOV', 'CALL_NEAR')",37271
"('POP', 'POP', 'MOV')",67010
"('POP', 'MOV', 'POP')",108971
"('MOV', 'POP', 'PUSH')",18866
"('POP', 'PUSH', 'RET_NEAR')",7826
"('PUSH', 'RET_NEAR', 'RET_NEAR')",7843
"('RET_NEAR', 'RET_NEAR', 'MOV')",5499
"('MOV', 'MOV', 'JMP')",79685
"('JNZ', 'CMP', 'JL')",4921
"('CMP', 'JL', 'MOV')",34504
"('JL', 'MOV', 'MOV')",39185
"('MOV', 'CALL_NEAR', 'TEST')",58672
"('CALL_NEAR', 'TEST', 'JZ')",109570
"('TEST', 'JZ', 'LEA')",38192
"('JZ', 'LEA', 'CMP')",12271
"('JNZ', 'CMP', 'JNZ')",93952
"('MOV', 'XOR', 'CALL_NEAR')",15935
"('XOR', 'CALL_NEAR', 'CMP')",2269
"('CALL_NEAR', 'CMP', 'JNZ')",54778
"('JNZ', 'RET_NEAR', 'JMP')",868
"('RET_NEAR', 'JMP', 'RET_NEAR')",1088
"('JMP', 'RET_NEAR', 'POP')",407
"('RET_NEAR', 'POP', 'RET_NEAR')",41467
"('RET_NEAR', 'MOV', 'TEST')",82244
"('MOV', 'TEST', 'JL')",55031
"('TEST', 'JL', 'PUSH')",35007
"('JL', 'PUSH', 'PUSH')",20984
"('PUSH', 'PUSH', 'LEA')",196835
"('PUSH', 'LEA', 'PUSH')",404375
"('PUSH', 'CALL_NEAR', 'PUSH')",219933
"('CALL_NEAR', 'PUSH', 'PUSH')",170535
"('PUSH', 'MOV', 'MOV')",516453
"('MOV', 'LEA', 'SUB')",13008
"('LEA', 'SUB', 'PUSH')",10555
"('SUB', 'PUSH', 'PUSH')",50668
"('MOV', 'XOR', 'XOR')",50867
"('XOR', 'XOR', 'MOV')",44395
"('XOR', 'MOV', 'PUSH')",36306
"('MOV', 'LEA', 'MOV')",105982
"('LEA', 'MOV', 'RET_NEAR')",10498
"('MOV', 'RET_NEAR', 'MOV')",31832
"('TEST', 'JNZ', 'XOR')",37974
"('JNZ', 'XOR', 'LEA')",1133
"('XOR', 'LEA', 'STOSD')",4606
"('LEA', 'STOSD', 'XOR')",502
"('STOSD', 'XOR', 'MOV')",1044
"('XOR', 'MOV', 'MOV')",208128
"('MOV', 'MOV', 'OR')",77813
"('MOV', 'OR', 'TEST')",9667
"('OR', 'TEST', 'JZ')",2950
"('TEST', 'JZ', 'TEST')",49171
"('JZ', 'TEST', 'JNZ')",44592
"('JNZ', 'MOV', 'TEST')",82295
"('TEST', 'JNZ', 'MOVZX')",9446
"('JNZ', 'MOVZX', 'ADD')",2018
"('MOVZX', 'ADD', 'CMP')",5655
"('ADD', 'CMP', 'JNBE')",8053
"('CMP', 'JNBE', 'CMP')",19539
"('JNBE', 'CMP', 'JNBE')",5719
"('CMP', 'JNBE', 'LEA')",11284
"('JNBE', 'LEA', 'MOV')",5382
"('LEA', 'MOV', 'XOR')",7985
"('XOR', 'MOV', 'MOVZX')",11662
"('MOV', 'MOVZX', 'PUSH')",17259
"('MOVZX', 'PUSH', 'PUSH')",23051
"('LEA', 'PUSH', 'CALL_NEAR')",178262
"('CALL_NEAR', 'PUSH', 'MOV')",92016
"('MOV', 'MOV', 'ADD')",350114
"('MOV', 'ADD', 'CMP')",32417
"('ADD', 'CMP', 'JBE')",4411
"('CMP', 'JBE', 'CMP')",12436
"('JBE', 'CMP', 'JB')",3074
"('CMP', 'JB', 'TEST')",6724
"('JB', 'TEST', 'JNZ')",4095
"('TEST', 'JNZ', 'SHR')",2485
"('JNZ', 'SHR', 'AND')",2184
"('SHR', 'AND', 'CMP')",3059
"('AND', 'CMP', 'JB')",4239
"('CMP', 'JB', 'REP_MOVSD')",2346
"('JB', 'REP_MOVSD', 'MOV')",680
"('REP_MOVSD', 'MOV', 'MOV')",2088
"('MOV', 'MOV', 'SUB')",121449
"('MOV', 'SUB', 'JB')",748
"('SUB', 'JB', 'AND')",731
"('JB', 'AND', 'ADD')",736
"('AND', 'ADD', 'JMP')",1507
"('ADD', 'JMP', 'AND')",1603
"('JMP', 'AND', 'MOV')",4242
"('AND', 'MOV', 'MOV')",111732
"('MOV', 'MOV', 'SHR')",33742
"('MOV', 'SHR', 'MOV')",10980
"('SHR', 'MOV', 'ADD')",1387
"('MOV', 'ADD', 'ADD')",182647
"('ADD', 'ADD', 'CMP')",10688
"('ADD', 'CMP', 'JB')",31476
"('JB', 'REP_MOVSD', 'JMP')",1236
"('REP_MOVSD', 'JMP', 'MOV')",2478
"('JMP', 'MOV', 'MOV')",94777
"('MOV', 'LEA', 'ADD')",9149
"('LEA', 'ADD', 'ADD')",6759
"('ADD', 'ADD', 'JMP')",31578
"('ADD', 'JMP', 'MOV')",31509
"('LEAVE', 'RET_NEAR', 'ADD')",8084
"('RET_NEAR', 'ADD', 'MOV')",7600
"('ADD', 'MOV', 'MOV')",246665
"('MOV', 'MOV', 'AND')",131870
"('MOV', 'AND', 'MOV')",108890
"('AND', 'MOV', 'CMP')",14374
"('CMP', 'JNZ', 'PUSH')",96289
"('JNZ', 'PUSH', 'CALL_NEAR')",56303
"('PUSH', 'CALL_NEAR', 'AND')",22161
"('CALL_NEAR', 'AND', 'AND')",5905
"('AND', 'AND', 'LEA')",1927
"('AND', 'LEA', 'PUSH')",17279
"('JZ', 'MOV', 'CMP')",84028
"('JZ', 'MOV', 'JMP')",28058
"('MOV', 'JMP', 'CMP')",37524
"('JMP', 'CMP', 'JZ')",29184
"('MOV', 'POP', 'RET_NEAR')",90479
"('POP', 'RET_NEAR', 'TEST')",100830
"('RET_NEAR', 'TEST', 'JZ')",88562
"('JZ', 'LEA', 'PUSH')",50698
"('MOV', 'PUSH', 'CALL_NEAR')",177393
"('MOV', 'PUSH', 'AND')",16559
"('PUSH', 'AND', 'PUSH')",14307
"('AND', 'PUSH', 'MOV')",27463
"('MOV', 'AND', 'TEST')",15567
"('AND', 'TEST', 'JNZ')",10134
"('TEST', 'JNZ', 'LEA')",26163
"('JNZ', 'LEA', 'PUSH')",41489
"('XOR', 'XOR', 'PUSH')",12338
"('XOR', 'PUSH', 'MOV')",54388
"('MOV', 'RET_NEAR', 'XOR')",4640
"('RET_NEAR', 'XOR', 'MOV')",7815
"('JNZ', 'MOV', 'CMP')",64203
"('CMP', 'JZ', 'CMP')",262602
"('JZ', 'CMP', 'JZ')",238544
"('CMP', 'JZ', 'NOT')",2307
"('JZ', 'NOT', 'AND')",397
"('NOT', 'AND', 'MOV')",7616
"('AND', 'MOV', 'JNZ')",3821
"('MOV', 'JNZ', 'MOV')",19814
"('JNZ', 'CMP', 'JNB')",4099
"('CMP', 'JNB', 'ADD')",1863
"('JNB', 'ADD', 'MOV')",863
"('MOV', 'SUB', 'NEG')",2119
"('SUB', 'NEG', 'SBB')",2062
"('NEG', 'SBB', 'AND')",17076
"('SBB', 'AND', 'MOV')",6573
"('TEST', 'JL', 'MOV')",65728
"('MOV', 'CALL_NEAR', 'RET_NEAR')",57015
"('CALL_NEAR', 'RET_NEAR', 'MOV')",40459
"('MOV', 'TEST', 'JZ')",405286
"('TEST', 'JZ', 'MOVZX')",31313
"('JZ', 'MOVZX', 'MOV')",13115
"('MOVZX', 'MOV', 'CMP')",13897
"('JNZ', 'PUSH', 'PUSH')",84794
"('PUSH', 'MOV', 'MOVZX')",10133
"('MOV', 'MOVZX', 'MOV')",38541
"('JNB', 'MOV', 'TEST')",7127
"('TEST', 'JZ', 'CMP')",112685
"('JZ', 'CMP', 'MOV')",6461
"('CMP', 'MOV', 'PUSH')",2608
"('MOV', 'POP', 'JZ')",1250
"('POP', 'JZ', 'MOV')",2306
"('JZ', 'MOV', 'ADD')",23403
"('MOV', 'ADD', 'MOV')",363478
"('MOV', 'MOV', 'XOR')",204230
"('MOV', 'XOR', 'POP')",61732
"('XOR', 'POP', 'RET_NEAR')",32741
"('POP', 'RET_NEAR', 'POP')",69057
"('RET_NEAR', 'POP', 'POP')",35765
"('LEAVE', 'RET_NEAR', 'TEST')",54379
"('RET_NEAR', 'TEST', 'JL')",46387
"('JL', 'MOV', 'POP')",5115
"('TEST', 'JZ', 'MOV')",306630
"('JZ', 'MOV', 'AND')",22204
"('AND', 'MOV', 'NEG')",473
"('MOV', 'NEG', 'SBB')",10315
"('NEG', 'SBB', 'NOT')",3596
"('SBB', 'NOT', 'LEA')",1988
"('NOT', 'LEA', 'AND')",1988
"('LEA', 'AND', 'PUSH')",3811
"('AND', 'PUSH', 'PUSH')",35092
"('PUSH', 'CALL_NEAR', 'XOR')",55807
"('CALL_NEAR', 'XOR', 'MOV')",20466
"('MOV', 'SHR', 'AND')",16867
"('SHR', 'AND', 'MOV')",5475
"('MOV', 'ADD', 'LEA')",6274
"('ADD', 'LEA', 'MOV')",4922
"('LEA', 'MOV', 'MOV')",80827
"('ADD', 'MOV', 'ADD')",232724
"('MOV', 'ADD', 'MOVZX')",30218
"('ADD', 'MOVZX', 'MOV')",17567
"('MOVZX', 'MOV', 'MOVZX')",12312
"('MOV', 'MOVZX', 'CMP')",13882
"('MOVZX', 'CMP', 'JNB')",12996
"('JNB', 'MOV', 'ADD')",3314
"('CMP', 'JNZ', 'SBB')",1036
"('JNZ', 'SBB', 'SBB')",1047
"('SBB', 'SBB', 'JMP')",1258
"('SBB', 'JMP', 'TEST')",1180
"('JMP', 'TEST', 'JZ')",23966
"('JZ', 'MOV', 'OR')",4971
"('OR', 'TEST', 'JNZ')",10241
"('TEST', 'JNZ', 'PUSH')",73221
"('MOV', 'XOR', 'DEC')",1508
"('XOR', 'DEC', 'JS')",1230
"('DEC', 'JS', 'PUSH')",371
"('JS', 'PUSH', 'MOV')",453
"('MOV', 'LEA', 'SAR')",1376
"('LEA', 'SAR', 'MOV')",1837
"('SAR', 'MOV', 'ADD')",964
"('ADD', 'MOV', 'CMP')",29072
"('TEST', 'JZ', 'SBB')",389
"('JZ', 'SBB', 'SBB')",1820
"('JMP', 'TEST', 'JL')",4592
"('TEST', 'JL', 'JLE')",2827
"('JL', 'JLE', 'LEA')",672
"('JLE', 'LEA', 'CMP')",843
"('LEA', 'CMP', 'JNL')",1593
"('CMP', 'JNL', 'LEA')",2393
"('JNL', 'LEA', 'JMP')",1269
"('LEA', 'JMP', 'CMP')",3889
"('JMP', 'CMP', 'JNL')",1511
"('CMP', 'JNL', 'CMP')",7721
"('JNL', 'CMP', 'POP')",425
"('CMP', 'POP', 'JL')",995
"('POP', 'JL', 'MOV')",921
"('CMP', 'JNZ', 'INC')",20812
"('JNZ', 'INC', 'INC')",9716
"('INC', 'INC', 'INC')",29354
"('INC', 'INC', 'TEST')",20544
"('INC', 'TEST', 'JNZ')",34419
"('JNZ', 'XOR', 'TEST')",5141
"('XOR', 'TEST', 'JL')",2397
"('JL', 'JLE', 'MOV')",1502
"('JLE', 'MOV', 'CMP')",2370
"('JNZ', 'CMP', 'POP')",1959
"('RET_NEAR', 'MOV', 'MOVZX')",2308
"('MOV', 'MOVZX', 'MOVZX')",12016
"('MOVZX', 'MOVZX', 'CMP')",9804
"('LEA', 'MOV', 'ADD')",4098
"('MOV', 'CMP', 'JNBE')",42570
"('JNBE', 'CMP', 'JZ')",5840
"('JZ', 'MOV', 'TEST')",77104
"('JNZ', 'XOR', 'CALL_NEAR')",2552
"('XOR', 'CALL_NEAR', 'MOV')",8507
"('MOV', 'JMP', 'XOR')",15785
"('JMP', 'XOR', 'CALL_NEAR')",562
"('XOR', 'CALL_NEAR', 'RET_NEAR')",5160
"('RET_NEAR', 'MOV', 'XOR')",17405
"('XOR', 'CMP', 'JL')",6592
"('CMP', 'JL', 'CMP')",20885
"('JL', 'CMP', 'JNZ')",16831
"('JNZ', 'MOV', 'LEA')",14727
"('MOV', 'LEA', 'TEST')",5465
"('LEA', 'TEST', 'JZ')",9962
"('TEST', 'JL', 'CALL_NEAR')",2766
"('JL', 'CALL_NEAR', 'MOV')",2127
"('SUB', 'MOV', 'XOR')",73426
"('PUSH', 'XOR', 'LEA')",6803
"('XOR', 'LEA', 'PUSH')",8229
"('LEA', 'PUSH', 'MOV')",77700
"('MOV', 'MOV', 'PUSH')",296691
"('CALL_NEAR', 'MOV', 'MOVZX')",3232
"('MOVZX', 'PUSH', 'POP')",1636
"('PUSH', 'POP', 'CMP')",5907
"('POP', 'CMP', 'JZ')",14497
"('JZ', 'CMP', 'JNZ')",94878
"('CMP', 'JNZ', 'LEA')",28855
"('PUSH', 'CALL_NEAR', 'LEA')",34768
"('CALL_NEAR', 'LEA', 'PUSH')",34787
"('MOV', 'XOR', 'LEA')",28427
"('XOR', 'LEA', 'CALL_NEAR')",20889
"('LEA', 'CALL_NEAR', 'INT')",328
"('CALL_NEAR', 'INT', 'ADD')",328
"('INT', 'ADD', 'RET_NEAR')",328
"('ADD', 'RET_NEAR', 'TEST')",7479
"('JL', 'PUSH', 'LEA')",11627
"('LEA', 'CALL_NEAR', 'ADD')",28039
"('CALL_NEAR', 'ADD', 'RET_NEAR')",28216
"('CMP', 'JNBE', 'MOV')",39988
"('JNBE', 'MOV', 'PUSH')",2869
"('MOV', 'LEA', 'MOVSD')",6165
"('LEA', 'MOVSD', 'MOVSW')",1056
"('MOVSD', 'MOVSW', 'POP')",718
"('MOVSW', 'POP', 'XOR')",715
"('POP', 'XOR', 'POP')",59271
"('XOR', 'POP', 'POP')",67851
"('POP', 'RET_NEAR', 'PUSH')",72289
"('RET_NEAR', 'PUSH', 'LEA')",9825
"('MOV', 'LEA', 'POP')",2943
"('LEA', 'POP', 'RET_NEAR')",3206
"('RET_NEAR', 'MOV', 'LEA')",12688
"('PUSH', 'MOV', 'CMP')",84718
"('CMP', 'JNZ', 'MOVZX')",22266
"('JNZ', 'MOVZX', 'XOR')",810
"('MOVZX', 'XOR', 'LEA')",502
"('XOR', 'LEA', 'REPE_CMPSB')",502
"('LEA', 'REPE_CMPSB', 'XOR')",328
"('REPE_CMPSB', 'XOR', 'JMP')",334
"('XOR', 'JMP', 'POP')",15769
"('JMP', 'POP', 'POP')",53495
"('JNZ', 'PUSH', 'LEA')",15738
"('CALL_NEAR', 'MOV', 'LEA')",18037
"('PUSH', 'CALL_NEAR', 'TEST')",140552
"('CALL_NEAR', 'TEST', 'JNZ')",46542
"('RET_NEAR', 'TEST', 'JNL')",11207
"('TEST', 'JNL', 'PUSH')",13052
"('JNL', 'PUSH', 'PUSH')",3915
"('CALL_NEAR', 'TEST', 'JNL')",9760
"('CALL_NEAR', 'MOV', 'TEST')",98231
"('TEST', 'JL', 'LEA')",13830
"('JL', 'LEA', 'PUSH')",14989
"('ADD', 'RET_NEAR', 'PUSH')",2325
"('RET_NEAR', 'PUSH', 'MOV')",22426
"('PUSH', 'MOV', 'CALL_NEAR')",299487
"('ADD', 'RET_NEAR', 'CMP')",4897
"('RET_NEAR', 'CMP', 'JL')",10091
"('MOV', 'CMP', 'PUSH')",12291
"('CMP', 'PUSH', 'MOV')",12003
"('PUSH', 'MOV', 'JNZ')",6109
"('MOV', 'JNZ', 'LEA')",3699
"('CALL_NEAR', 'TEST', 'JL')",46933
"('CALL_NEAR', 'AND', 'MOV')",11111
"('AND', 'MOV', 'TEST')",11302
"('CMP', 'JNBE', 'TEST')",10057
"('JNBE', 'TEST', 'JBE')",493
"('TEST', 'JBE', 'MOVZX')",950
"('JBE', 'MOVZX', 'MOV')",696
"('MOVZX', 'MOV', 'MOV')",34035
"('CALL_NEAR', 'RET_NEAR', 'CMP')",5198
"('RET_NEAR', 'CMP', 'JNZ')",19289
"('JNZ', 'PUSH', 'MOVZX')",478
"('PUSH', 'MOVZX', 'IMUL')",984
"('MOVZX', 'IMUL', 'POP')",393
"('IMUL', 'POP', 'ADD')",603
"('POP', 'ADD', 'LEA')",768
"('TEST', 'JL', 'XOR')",8109
"('JL', 'XOR', 'MOV')",1668
"('ADD', 'MOV', 'MOVZX')",11458
"('MOVZX', 'PUSH', 'CALL_NEAR')",7568
"('MOV', 'SUB', 'PUSH')",67992
"('XOR', 'CMP', 'PUSH')",6863
"('PUSH', 'MOV', 'JNBE')",1721
"('MOV', 'JNBE', 'MOV')",2771
"('JNBE', 'MOV', 'MOV')",16717
"('MOV', 'OR', 'MOV')",67110
"('OR', 'MOV', 'CMP')",4978
"('TEST', 'JNZ', 'CMP')",54959
"('JNZ', 'CMP', 'JZ')",75843
"('MOV', 'ADD', 'AND')",63931
"('ADD', 'AND', 'MOV')",54529
"('MOV', 'SHR', 'CMP')",7517
"('SHR', 'CMP', 'JNB')",1622
"('JNB', 'MOV', 'DEC')",979
"('MOV', 'DEC', 'CMP')",15050
"('DEC', 'CMP', 'JNB')",3403
"('CMP', 'JNB', 'SUB')",2881
"('JNB', 'SUB', 'CMP')",2305
"('SUB', 'CMP', 'JZ')",6363
"('CMP', 'JZ', 'ADD')",17768
"('JZ', 'ADD', 'MOV')",14414
"('ADD', 'MOV', 'LEA')",7093
"('JZ', 'MOV', 'LEA')",23044
"('PUSH', 'PUSH', 'OR')",3951
"('PUSH', 'OR', 'PUSH')",8224
"('OR', 'PUSH', 'MOV')",15583
"('MOV', 'CALL_NEAR', 'PUSH')",106939
"('MOV', 'XOR', 'INC')",26542
"('XOR', 'INC', 'MOV')",22174
"('INC', 'MOV', 'MOV')",24233
"('JNB', 'MOV', 'CMP')",5179
"('SHR', 'MOV', 'CMP')",2019
"('MOV', 'CMP', 'JB')",37158
"('MOV', 'LEA', 'BTR_LOCK')",349
"('LEA', 'BTR_LOCK', 'JNB')",348
"('BTR_LOCK', 'JNB', 'MOV')",1172
"('TEST', 'JZ', 'INC')",10964
"('JZ', 'INC', 'TEST')",1519
"('JNZ', 'MOV', 'XOR')",10688
"('TEST', 'JNZ', 'ADD')",12061
"('JNZ', 'ADD', 'MOV')",5391
"('JNZ', 'CMP', 'JNBE')",3938
"('JNBE', 'MOV', 'CMP')",7073
"('JNZ', 'LEA', 'MOV')",10345
"('SUB', 'MOV', 'MOV')",107015
"('TEST', 'JZ', 'XOR')",45891
"('JZ', 'XOR', 'MOV')",28517
"('MOVZX', 'MOVZX', 'MOV')",8650
"('MOVZX', 'MOV', 'SUB')",8145
"('MOV', 'SUB', 'TEST')",12910
"('SUB', 'TEST', 'JNLE')",2651
"('TEST', 'JNLE', 'MOV')",9249
"('JNLE', 'MOV', 'MOV')",5307
"('SUB', 'TEST', 'JZ')",7009
"('SUB', 'TEST', 'JLE')",3524
"('TEST', 'JLE', 'CMP')",3868
"('JLE', 'CMP', 'JNZ')",3037
"('JNZ', 'MOV', 'JMP')",57029
"('JZ', 'MOV', 'XOR')",21881
"('XOR', 'MOV', 'XOR')",38797
"('XOR', 'XOR', 'CMP')",11952
"('JNZ', 'MOVZX', 'CMP')",6198
"('MOVZX', 'CMP', 'JB')",13451
"('CMP', 'JNZ', 'SUB')",7342
"('JNZ', 'SUB', 'MOV')",2656
"('SUB', 'MOV', 'TEST')",7489
"('SUB', 'MOV', 'CMP')",9199
"('ADD', 'MOV', 'SHL')",7193
"('MOV', 'SHL', 'MOV')",12757
"('SHL', 'MOV', 'LEA')",4960
"('MOV', 'MOV', 'DEC')",25629
"('MOV', 'DEC', 'MOV')",14240
"('DEC', 'MOV', 'DEC')",2154
"('DEC', 'CMP', 'JZ')",12757
"('CMP', 'JNZ', 'DEC')",7174
"('JNZ', 'DEC', 'MOV')",2672
"('DEC', 'MOV', 'CMP')",3909
"('SHR', 'AND', 'XOR')",4196
"('AND', 'XOR', 'INC')",5850
"('XOR', 'INC', 'SHL')",5507
"('INC', 'SHL', 'MOV')",4420
"('MOV', 'LEA', 'NOT')",2092
"('LEA', 'NOT', 'AND')",2216
"('LEA', 'MOV', 'TEST')",13062
"('MOV', 'MOV', 'MOVZX')",39753
"('SUB', 'MOV', 'LEA')",3167
"('LEA', 'CMP', 'JNB')",5840
"('JNZ', 'MOV', 'PUSH')",37514
"('PUSH', 'PUSH', 'CMP')",15765
"('PUSH', 'CMP', 'SETZ')",1005
"('CMP', 'SETZ', 'MOVZX')",1018
"('SETZ', 'MOVZX', 'PUSH')",1015
"('JNZ', 'XOR', 'MOV')",16499
"('SHR', 'AND', 'LEA')",585
"('AND', 'LEA', 'XOR')",553
"('LEA', 'XOR', 'MOV')",2335
"('XOR', 'MOV', 'TEST')",10665
"('XOR', 'CMP', 'MOV')",10116
"('CMP', 'MOV', 'MOV')",22732
"('MOV', 'MOV', 'JNZ')",15205
"('MOV', 'JNZ', 'MOVZX')",1156
"('JNZ', 'MOVZX', 'MOV')",9932
"('JZ', 'CMP', 'JNB')",9020
"('JMP', 'CMP', 'JNB')",13262
"('LEA', 'CMP', 'JZ')",22254
"('MOV', 'MOVZX', 'ADD')",17458
"('MOVZX', 'ADD', 'MOV')",26119
"('ADD', 'MOV', 'TEST')",14695
"('JZ', 'MOV', 'MOVZX')",12009
"('JNB', 'MOV', 'SUB')",2104
"('MOV', 'SUB', 'CMP')",17366
"('SUB', 'CMP', 'MOV')",7788
"('CMP', 'MOV', 'JZ')",20138
"('MOV', 'JZ', 'ADD')",5539
"('MOV', 'MOV', 'SHL')",13735
"('MOV', 'SHL', 'INC')",2042
"('SHL', 'INC', 'MOV')",1570
"('CMP', 'JZ', 'TEST')",54156
"('MOV', 'SHR', 'LEA')",11568
"('SHR', 'LEA', 'XOR')",6675
"('LEA', 'XOR', 'AND')",2936
"('XOR', 'AND', 'INC')",2971
"('AND', 'INC', 'SHL')",3283
"('INC', 'SHL', 'OR')",2861
"('SHL', 'OR', 'CMP')",1850
"('OR', 'CMP', 'JZ')",5523
"('XOR', 'MOV', 'POP')",20973
"('CMP', 'JZ', 'MOVZX')",29271
"('JZ', 'MOVZX', 'MOVZX')",10733
"('MOVZX', 'MOVZX', 'XOR')",3922
"('MOVZX', 'XOR', 'MOV')",8501
"('MOV', 'MOVZX', 'XOR')",5167
"('PUSH', 'MOV', 'ADD')",103760
"('MOV', 'ADD', 'JNZ')",1188
"('ADD', 'JNZ', 'PUSH')",744
"('PUSH', 'LEA', 'MOV')",47722
"('MOV', 'MOV', 'XADD_LOCK')",4056
"('MOV', 'XADD_LOCK', 'INC')",2573
"('XADD_LOCK', 'INC', 'CMP')",747
"('INC', 'CMP', 'JNZ')",19914
"('CMP', 'JNZ', 'POP')",18960
"('JNZ', 'POP', 'POP')",24675
"('POP', 'POP', 'XOR')",31487
"('MOV', 'CALL_NEAR', 'CMP')",30380
"('JNZ', 'RET_NEAR', 'CMP')",1229
"('RET_NEAR', 'MOV', 'JMP')",20290
"('MOV', 'JMP', 'TEST')",16093
